Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Jul 11, 2020 3:55 AM",Withdrawn,['Ticket Tool#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731466559922634752/transcript-pending-0014.html,0014,False
"Jul 11, 2020 2:32 PM",Withdrawn,"['BobTheSnob_#8659', 'Spacix#2150', 'Dominion Tickets#4843']","['272850426796179468', '257582185932914688', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731608078721482832/transcript-pending-0015.html,0015,False
"Jul 11, 2020 1:31 AM",Withdrawn,"['ClaysLostTime#2842', 'steveethegreat#7620', 'ItsWilven#2268', 'Dominion Tickets#4843']","['143323590970966016', '162392061864181761', '613074171823521814', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731617507139649637/transcript-open-0010.html,0010,False
"Jul 12, 2020 2:01 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731691791882911775/transcript-open-0017.html,0017,False
"Jul 12, 2020 2:10 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731693928071299102/transcript-open-0018.html,0018,False
"Jul 11, 2020 8:20 PM",Withdrawn,"['Schematix#7207', 'kevcai#8037', 'ItsWilven#2268', 'Dominion Tickets#4843']","['139028709595283456', '143323590970966016', '466933907485491222', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731882878753046528/transcript-pending-0016.html,0016,False
"Jul 12, 2020 10:43 AM",Withdrawn,"['beetlebum300#8522', 'kevcai#8037', 'Dominion Tickets#4843']","['274527002151747585', '466933907485491222', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/731941185945337856/transcript-open-0019.html,0019,False
"Jul 13, 2020 12:44 AM",Withdrawn,"['kevcai#8037', 'Goldbird#1615', 'Dominion Tickets#4843']","['466933907485491222', '320241035542265856', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/732261288926773388/transcript-pending-0020.html,0020,False
"Jul 14, 2020 7:41 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/732711428435476510/transcript-pending-0021.html,0021,False
"Jul 14, 2020 10:04 PM",Withdrawn,"['Pneumatic Soul#4298', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['593533723157331976', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/732747071135940708/transcript-pending-0023.html,0023,False
