Date,Status
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,1
2020-08-09,1
2020-08-16,0
2020-08-23,9
2020-08-30,12
2020-09-06,11
2020-09-13,13
2020-09-20,18
2020-09-27,7
2020-10-04,7
2020-10-11,2
2020-10-18,9
2020-10-25,13
2020-11-01,4
2020-11-08,6
2020-11-15,29
2020-11-22,11
2020-11-29,10
2020-12-06,16
2020-12-13,10
2020-12-20,8
2020-12-27,2
2021-01-03,3
2021-01-10,20
2021-01-17,16
2021-01-24,9
2021-01-31,8
2021-02-07,22
2021-02-14,14
2021-02-21,12
2021-02-28,8
2021-03-07,23
2021-03-14,9
2021-03-21,5
2021-03-28,2
2021-04-04,2
2021-04-11,1
2021-04-18,6
2021-04-25,16
2021-05-02,15
2021-05-09,4
2021-05-16,8
2021-05-23,26
2021-05-30,11
2021-06-06,12
2021-06-13,11
2021-06-20,6
2021-06-27,2
2021-07-04,15
2021-07-11,9
2021-07-18,10
2021-07-25,9
2021-08-01,18
2021-08-08,9
2021-08-15,16
2021-08-22,5
2021-08-29,4
2021-09-05,10
2021-09-12,17
2021-09-19,15
2021-09-26,6
2021-10-03,14
2021-10-10,5
2021-10-17,12
2021-10-24,6
2021-10-31,17
2021-11-07,8
2021-11-14,9
2021-11-21,4
2021-11-28,22
2021-12-05,9
2021-12-12,5
2021-12-19,5
2021-12-26,5
2022-01-02,8
2022-01-09,6
2022-01-16,6
2022-01-23,3
2022-01-30,0
2022-02-06,2
2022-02-13,17
2022-02-20,8
2022-02-27,13
2022-03-06,37
2022-03-13,15
2022-03-20,14
2022-03-27,8
2022-04-03,17
2022-04-10,12
2022-04-17,2
2022-04-24,2
2022-05-01,12
2022-05-08,8
2022-05-15,12
2022-05-22,15
2022-05-29,10
2022-06-05,1
2022-06-12,8
2022-06-19,6
2022-06-26,3
2022-07-03,10
2022-07-10,4
2022-07-17,4
2022-07-24,5
2022-07-31,6
2022-08-07,6
2022-08-14,1
2022-08-21,3
2022-08-28,3
2022-09-04,5
2022-09-11,8
2022-09-18,4
2022-09-25,11
2022-10-02,7
2022-10-09,11
2022-10-16,3
2022-10-23,9
2022-10-30,5
2022-11-06,3
2022-11-13,6
2022-11-20,2
2022-11-27,7
2022-12-04,8
2022-12-11,6
2022-12-18,4
2022-12-25,17
2023-01-01,16
2023-01-08,17
2023-01-15,7
2023-01-22,9
2023-01-29,4
2023-02-05,3
2023-02-12,11
2023-02-19,5
2023-02-26,5
2023-03-05,2
2023-03-12,0
2023-03-19,4
2023-03-26,5
2023-04-02,11
2023-04-09,15
2023-04-16,6
2023-04-23,5
2023-04-30,1
2023-05-07,9
2023-05-14,7
2023-05-21,3
2023-05-28,3
2023-06-04,7
2023-06-11,2
2023-06-18,11
2023-06-25,7
2023-07-02,1
