UUIDs,2020-12-31,2021-12-31,2022-12-31,2023-12-31
Astrogirl,1.0,105.0,327.0,0.0
ItsWilven,67.0,147.0,202.0,68.0
143906061269598209,0.0,2.0,0.0,2.0
TwoBirds_,104.0,299.0,0.0,0.0
ClaysLostTime,63.0,0.0,0.0,0.0
Lord_Bones,50.0,9.0,1.0,0.0
182191300286611456,2.0,0.0,1.0,1.0
chushberry,1.0,0.0,24.0,1.0
SKKRROORRGG,0.0,0.0,52.0,92.0
36_,0.0,0.0,44.0,28.0
201771434186375168,0.0,0.0,0.0,3.0
205774621998317569,3.0,0.0,0.0,0.0
TheGrubKing,0.0,0.0,1.0,31.0
222840042056450048,3.0,0.0,0.0,0.0
Carl-Bot,0.0,0.0,2.0,5.0
BobTheSnob,102.0,257.0,94.0,96.0
258995145431711755,0.0,0.0,1.0,3.0
SwifSkully,2.0,84.0,71.0,0.0
ReggiesNewLeaf,0.0,12.0,0.0,0.0
311537076124516354,1.0,1.0,1.0,0.0
kmskaine,6.0,0.0,0.0,0.0
315309075606798336,3.0,0.0,0.0,0.0
317625300697743360,0.0,2.0,1.0,1.0
Chubsffs,97.0,42.0,0.0,0.0
ydal251,0.0,1.0,239.0,69.0
HeavenlyFiend43,0.0,83.0,157.0,37.0
MissOlive,1.0,19.0,0.0,0.0
Freeflame,0.0,1.0,33.0,56.0
Xcerty,128.0,111.0,1.0,0.0
407390850180710401,3.0,0.0,0.0,0.0
TheChauDynasty,0.0,2.0,0.0,10.0
458659879104544768,0.0,3.0,0.0,0.0
Kevcai,52.0,85.0,13.0,0.0
Lunaronium,0.0,0.0,1.0,6.0
503464566370598912,2.0,1.0,0.0,0.0
Myrtis,0.0,7.0,10.0,17.0
531221732309204993,0.0,1.0,2.0,0.0
Ticket Tool,448.0,147.0,0.0,0.0
565648154289111041,0.0,3.0,0.0,0.0
Hlokk,0.0,15.0,2.0,5.0
662644942501314573,2.0,1.0,0.0,0.0
PeachxEdition,0.0,0.0,51.0,33.0
bryce553_,50.0,64.0,3.0,0.0
WAIA55,1.0,3.0,1.0,0.0
Tickets 2,0.0,873.0,1059.0,395.0
785890629414420482,0.0,3.0,0.0,1.0
868083377314615306,0.0,0.0,3.0,0.0
875902817414545508,0.0,0.0,3.0,0.0
Royal03,0.0,0.0,114.0,26.0
MelonPumpkin,0.0,26.0,31.0,34.0
